Site Name ,LIZ E - SA
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14727


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

379,24/07/2021 , 12:45:00,471,471
380,24/07/2021 , 13:00:00,413,413
381,24/07/2021 , 13:15:00,367,367
382,24/07/2021 , 13:30:00,335,335
383,24/07/2021 , 13:45:00,293,293
384,24/07/2021 , 14:00:00,257,257
385,24/07/2021 , 14:15:00,187,187
386,24/07/2021 , 14:30:00,55,55
387,24/07/2021 , 14:45:00,2318,2318
388,24/07/2021 , 15:00:00,11595,11595
389,24/07/2021 , 15:15:00,9862,9862
390,24/07/2021 , 15:30:00,8181,8181
391,24/07/2021 , 15:45:00,7240,7240
392,24/07/2021 , 16:00:00,6292,6292
393,24/07/2021 , 16:15:00,5870,5870
394,24/07/2021 , 16:30:00,5208,5208
395,24/07/2021 , 16:45:00,4134,4134
396,24/07/2021 , 17:00:00,3632,3632
397,24/07/2021 , 17:15:00,3102,3102
398,24/07/2021 , 17:30:00,2682,2682
399,24/07/2021 , 17:45:00,2329,2329
400,24/07/2021 , 18:00:00,1969,1969
401,24/07/2021 , 18:15:00,1568,1568
402,24/07/2021 , 18:30:00,1362,1362
403,24/07/2021 , 18:45:00,1056,1056
404,24/07/2021 , 19:00:00,868,868
405,24/07/2021 , 19:15:00,678,678
406,24/07/2021 , 19:30:00,506,506
407,24/07/2021 , 19:45:00,356,356
408,24/07/2021 , 20:00:00,194,194
409,24/07/2021 , 20:15:00,122,122
410,24/07/2021 , 20:30:00,65,65
411,24/07/2021 , 20:45:00,30,30
412,24/07/2021 , 21:00:00,10,10
413,24/07/2021 , 21:15:00,1,1
414,24/07/2021 , 21:30:00,0,0
415,24/07/2021 , 21:45:00,0,0
416,24/07/2021 , 22:00:00,0,0
417,24/07/2021 , 22:15:00,0,0
418,24/07/2021 , 22:30:00,0,0
419,24/07/2021 , 22:45:00,0,0
420,24/07/2021 , 23:00:00,0,0
421,24/07/2021 , 23:15:00,0,0
422,24/07/2021 , 23:30:00,0,0
423,24/07/2021 , 23:45:00,0,0
424,24/07/2021 , 24:00:00,0,0
425,25/07/2021 , 00:15:00,0,0
426,25/07/2021 , 00:30:00,0,0
427,25/07/2021 , 00:45:00,0,0
428,25/07/2021 , 01:00:00,0,0
429,25/07/2021 , 01:15:00,0,0
430,25/07/2021 , 01:30:00,0,0
431,25/07/2021 , 01:45:00,0,0
432,25/07/2021 , 02:00:00,0,0
433,25/07/2021 , 02:15:00,0,0
434,25/07/2021 , 02:30:00,0,0
435,25/07/2021 , 02:45:00,0,0
436,25/07/2021 , 03:00:00,0,0
437,25/07/2021 , 03:15:00,0,0
438,25/07/2021 , 03:30:00,0,0
439,25/07/2021 , 03:45:00,0,0
440,25/07/2021 , 04:00:00,0,0
441,25/07/2021 , 04:15:00,0,0
442,25/07/2021 , 04:30:00,0,0
443,25/07/2021 , 04:45:00,0,0
444,25/07/2021 , 05:00:00,0,0
445,25/07/2021 , 05:15:00,0,0
446,25/07/2021 , 05:30:00,0,0
447,25/07/2021 , 05:45:00,4,4
448,25/07/2021 , 06:00:00,13,13
449,25/07/2021 , 06:15:00,31,31
450,25/07/2021 , 06:30:00,42,42
451,25/07/2021 , 06:45:00,67,67
452,25/07/2021 , 07:00:00,107,107
453,25/07/2021 , 07:15:00,151,151
454,25/07/2021 , 07:30:00,245,245
455,25/07/2021 , 07:45:00,499,499
456,25/07/2021 , 08:00:00,910,910
457,25/07/2021 , 08:15:00,1302,1302
458,25/07/2021 , 08:30:00,1810,1810
459,25/07/2021 , 08:45:00,1945,1945
460,25/07/2021 , 09:00:00,2323,2323
461,25/07/2021 , 09:15:00,2649,2649
462,25/07/2021 , 09:30:00,982,982
463,25/07/2021 , 09:45:00,1429,1429
464,25/07/2021 , 10:00:00,2910,2910
465,25/07/2021 , 10:15:00,5646,5646
466,25/07/2021 , 10:30:00,6367,6367
467,25/07/2021 , 10:45:00,10170,10170
468,25/07/2021 , 11:00:00,14246,14246
469,25/07/2021 , 11:15:00,16594,16594
470,25/07/2021 , 11:30:00,18988,18988
471,25/07/2021 , 11:45:00,21311,21311
472,25/07/2021 , 12:00:00,32010,32010
473,25/07/2021 , 12:15:00,33917,33917
474,25/07/2021 , 12:30:00,34388,34388
475,25/07/2021 , 12:45:00,34709,34709
476,25/07/2021 , 13:00:00,35635,35635
477,25/07/2021 , 13:15:00,38591,38591
478,25/07/2021 , 13:30:00,40354,40354
479,25/07/2021 , 13:45:00,40454,40454
480,25/07/2021 , 14:00:00,40318,40318
481,25/07/2021 , 14:15:00,39917,39917
482,25/07/2021 , 14:30:00,39294,39294
483,25/07/2021 , 14:45:00,30460,30460
484,25/07/2021 , 15:00:00,17187,17187
485,25/07/2021 , 15:15:00,13901,13901
486,25/07/2021 , 15:30:00,11300,11300
487,25/07/2021 , 15:45:00,9167,9167
488,25/07/2021 , 16:00:00,7358,7358
489,25/07/2021 , 16:15:00,6261,6261
490,25/07/2021 , 16:30:00,5569,5569
491,25/07/2021 , 16:45:00,5301,5301
492,25/07/2021 , 17:00:00,4705,4705
493,25/07/2021 , 17:15:00,4113,4113
494,25/07/2021 , 17:30:00,3432,3432
495,25/07/2021 , 17:45:00,2563,2563
496,25/07/2021 , 18:00:00,2199,2199
497,25/07/2021 , 18:15:00,1846,1846
498,25/07/2021 , 18:30:00,1522,1522
499,25/07/2021 , 18:45:00,1185,1185
