Date,Time,Intensity (Lux) c:2
07/27/21,14:00:00,187379.0
07/27/21,14:15:00,187379.0
07/27/21,14:30:00,176356.7
07/27/21,14:45:00,176356.7
07/27/21,15:00:00,176356.7
07/27/21,15:15:00,148801.0
07/27/21,15:30:00,93689.5
07/27/21,15:45:00,68889.3
07/27/21,16:00:00,110223.0
07/27/21,16:15:00,39955.8
07/27/21,16:30:00,60622.6
07/27/21,16:45:00,41333.6
07/27/21,17:00:00,26178.0
07/27/21,17:15:00,20666.8
07/27/21,17:30:00,9644.5
07/27/21,17:45:00,11711.2
07/27/21,18:00:00,9644.5
07/27/21,18:15:00,7577.8
07/27/21,18:30:00,5511.1
07/27/21,18:45:00,4477.8
07/27/21,19:00:00,3272.2
07/27/21,19:15:00,2497.2
07/27/21,19:30:00,1722.2
07/27/21,19:45:00,1270.1
07/27/21,20:00:00,796.5
07/27/21,20:15:00,473.6
07/27/21,20:30:00,247.6
07/27/21,20:45:00,107.6
07/27/21,21:00:00,21.5
07/27/21,21:15:00,0.0
07/27/21,21:30:00,0.0
07/27/21,21:45:00,0.0
07/27/21,22:00:00,0.0
07/27/21,22:15:00,0.0
07/27/21,22:30:00,0.0
07/27/21,22:45:00,0.0
07/27/21,23:00:00,0.0
07/27/21,23:15:00,0.0
07/27/21,23:30:00,0.0
07/27/21,23:45:00,0.0
07/28/21,00:00:00,0.0
07/28/21,00:15:00,0.0
07/28/21,00:30:00,0.0
07/28/21,00:45:00,0.0
07/28/21,01:00:00,0.0
07/28/21,01:15:00,0.0
07/28/21,01:30:00,0.0
07/28/21,01:45:00,0.0
07/28/21,02:00:00,0.0
07/28/21,02:15:00,0.0
07/28/21,02:30:00,0.0
07/28/21,02:45:00,0.0
07/28/21,03:00:00,0.0
07/28/21,03:15:00,0.0
07/28/21,03:30:00,0.0
07/28/21,03:45:00,0.0
07/28/21,04:00:00,0.0
07/28/21,04:15:00,0.0
07/28/21,04:30:00,0.0
07/28/21,04:45:00,0.0
07/28/21,05:00:00,0.0
07/28/21,05:15:00,0.0
07/28/21,05:30:00,21.5
07/28/21,05:45:00,107.6
07/28/21,06:00:00,269.1
07/28/21,06:15:00,484.4
07/28/21,06:30:00,742.7
07/28/21,06:45:00,1054.9
07/28/21,07:00:00,1377.8
07/28/21,07:15:00,1894.5
07/28/21,07:30:00,2152.8
07/28/21,07:45:00,2497.2
07/28/21,08:00:00,2927.8
07/28/21,08:15:00,3272.2
07/28/21,08:30:00,5166.7
07/28/21,08:45:00,5511.1
07/28/21,09:00:00,5511.1
07/28/21,09:15:00,6544.5
07/28/21,09:30:00,6200.0
