Date,Time,Abs Pres (kPa) c:1 2
07/24/21,22:30:00,128.746
07/24/21,22:45:00,128.345
07/24/21,23:00:00,127.964
07/24/21,23:15:00,127.615
07/24/21,23:30:00,127.166
07/24/21,23:45:00,126.815
07/25/21,00:00:00,126.411
07/25/21,00:15:00,126.098
07/25/21,00:30:00,125.871
07/25/21,00:45:00,125.840
07/25/21,01:00:00,125.960
07/25/21,01:15:00,126.122
07/25/21,01:30:00,126.477
07/25/21,01:45:00,126.804
07/25/21,02:00:00,127.047
07/25/21,02:15:00,127.258
07/25/21,02:30:00,127.496
07/25/21,02:45:00,127.781
07/25/21,03:00:00,128.019
07/25/21,03:15:00,128.462
07/25/21,03:30:00,129.017
07/25/21,03:45:00,129.584
07/25/21,04:00:00,130.017
07/25/21,04:15:00,130.557
07/25/21,04:30:00,130.661
07/25/21,04:45:00,130.734
07/25/21,05:00:00,130.533
07/25/21,05:15:00,130.162
07/25/21,05:30:00,129.679
07/25/21,05:45:00,129.370
07/25/21,06:00:00,128.759
07/25/21,06:15:00,128.195
07/25/21,06:30:00,127.532
07/25/21,06:45:00,126.833
07/25/21,07:00:00,126.041
07/25/21,07:15:00,125.126
07/25/21,07:30:00,124.008
07/25/21,07:45:00,122.868
07/25/21,08:00:00,121.473
07/25/21,08:15:00,120.121
07/25/21,08:30:00,118.740
07/25/21,08:45:00,117.272
07/25/21,09:00:00,115.828
07/25/21,09:15:00,114.321
07/25/21,09:30:00,112.994
07/25/21,09:45:00,111.726
07/25/21,10:00:00,110.413
07/25/21,10:15:00,109.144
07/25/21,10:30:00,107.982
07/25/21,10:45:00,106.821
07/25/21,11:00:00,105.725
07/25/21,11:15:00,104.778
07/25/21,11:30:00,103.983
07/25/21,11:45:00,103.327
07/25/21,12:00:00,102.777
07/25/21,12:15:00,102.300
07/25/21,12:30:00,101.879
07/25/21,12:45:00,101.922
07/25/21,13:00:00,101.928
07/25/21,13:15:00,101.922
07/25/21,13:30:00,101.919
07/25/21,13:45:00,101.920
07/25/21,14:00:00,101.904
07/25/21,14:15:00,101.895
07/25/21,14:30:00,102.209
07/25/21,14:45:00,104.374
07/25/21,15:00:00,106.399
07/25/21,15:15:00,108.253
07/25/21,15:30:00,110.046
07/25/21,15:45:00,111.655
07/25/21,16:00:00,113.230
07/25/21,16:15:00,114.805
07/25/21,16:30:00,116.404
07/25/21,16:45:00,118.085
07/25/21,17:00:00,119.544
07/25/21,17:15:00,121.128
07/25/21,17:30:00,122.836
07/25/21,17:45:00,124.429
07/25/21,18:00:00,126.136
07/25/21,18:15:00,127.563
07/25/21,18:30:00,128.883
07/25/21,18:45:00,130.266
07/25/21,19:00:00,131.187
07/25/21,19:15:00,132.099
07/25/21,19:30:00,132.686
07/25/21,19:45:00,132.779
07/25/21,20:00:00,132.794
07/25/21,20:15:00,132.856
07/25/21,20:30:00,132.794
07/25/21,20:45:00,132.732
07/25/21,21:00:00,132.825
07/25/21,21:15:00,132.521
07/25/21,21:30:00,132.243
07/25/21,21:45:00,131.825
07/25/21,22:00:00,131.058
07/25/21,22:15:00,130.306
07/25/21,22:30:00,129.581
07/25/21,22:45:00,128.820
07/25/21,23:00:00,128.299
07/25/21,23:15:00,127.754
07/25/21,23:30:00,127.143
07/25/21,23:45:00,126.850
07/26/21,00:00:00,126.353
07/26/21,00:15:00,125.728
07/26/21,00:30:00,125.197
07/26/21,00:45:00,124.883
07/26/21,01:00:00,124.560
07/26/21,01:15:00,124.303
07/26/21,01:30:00,124.210
07/26/21,01:45:00,124.180
07/26/21,02:00:00,124.283
07/26/21,02:15:00,124.498
07/26/21,02:30:00,124.740
07/26/21,02:45:00,124.936
07/26/21,03:00:00,125.086
