Site Name ,LIZ E - BO
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14726


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

177,22/07/2021 , 10:15:00,70,70
178,22/07/2021 , 10:30:00,76,76
179,22/07/2021 , 10:45:00,86,86
180,22/07/2021 , 11:00:00,96,96
181,22/07/2021 , 11:15:00,104,104
182,22/07/2021 , 11:30:00,186,186
183,22/07/2021 , 11:45:00,529,529
184,22/07/2021 , 12:00:00,173,173
185,22/07/2021 , 12:15:00,1689,1689
186,22/07/2021 , 12:30:00,2248,2248
187,22/07/2021 , 12:45:00,3268,3268
188,22/07/2021 , 13:00:00,553,553
189,22/07/2021 , 13:15:00,1613,1613
190,22/07/2021 , 13:30:00,1137,1137
191,22/07/2021 , 13:45:00,162,162
192,22/07/2021 , 14:00:00,147,147
193,22/07/2021 , 14:15:00,143,143
194,22/07/2021 , 14:30:00,127,127
195,22/07/2021 , 14:45:00,123,123
196,22/07/2021 , 15:00:00,122,122
197,22/07/2021 , 15:15:00,122,122
198,22/07/2021 , 15:30:00,685,685
199,22/07/2021 , 15:45:00,24,24
200,22/07/2021 , 16:00:00,23,23
201,22/07/2021 , 16:15:00,9,9
202,22/07/2021 , 16:30:00,7,7
203,22/07/2021 , 16:45:00,7,7
204,22/07/2021 , 17:00:00,6,6
205,22/07/2021 , 17:15:00,4,4
206,22/07/2021 , 17:30:00,5,5
207,22/07/2021 , 17:45:00,4,4
208,22/07/2021 , 18:00:00,3,3
209,22/07/2021 , 18:15:00,4,4
210,22/07/2021 , 18:30:00,3,3
211,22/07/2021 , 18:45:00,2,2
212,22/07/2021 , 19:00:00,3,3
213,22/07/2021 , 19:15:00,1,1
214,22/07/2021 , 19:30:00,1,1
215,22/07/2021 , 19:45:00,0,0
216,22/07/2021 , 20:00:00,0,0
217,22/07/2021 , 20:15:00,0,0
218,22/07/2021 , 20:30:00,0,0
219,22/07/2021 , 20:45:00,7,7
220,22/07/2021 , 21:00:00,6,6
221,22/07/2021 , 21:15:00,0,0
222,22/07/2021 , 21:30:00,0,0
223,22/07/2021 , 21:45:00,0,0
224,22/07/2021 , 22:00:00,0,0
225,22/07/2021 , 22:15:00,0,0
226,22/07/2021 , 22:30:00,0,0
227,22/07/2021 , 22:45:00,0,0
228,22/07/2021 , 23:00:00,0,0
229,22/07/2021 , 23:15:00,0,0
230,22/07/2021 , 23:30:00,0,0
231,22/07/2021 , 23:45:00,0,0
232,22/07/2021 , 24:00:00,0,0
233,23/07/2021 , 00:15:00,0,0
234,23/07/2021 , 00:30:00,0,0
235,23/07/2021 , 00:45:00,0,0
236,23/07/2021 , 01:00:00,0,0
237,23/07/2021 , 01:15:00,0,0
238,23/07/2021 , 01:30:00,0,0
239,23/07/2021 , 01:45:00,0,0
240,23/07/2021 , 02:00:00,0,0
241,23/07/2021 , 02:15:00,0,0
242,23/07/2021 , 02:30:00,0,0
243,23/07/2021 , 02:45:00,0,0
244,23/07/2021 , 03:00:00,0,0
245,23/07/2021 , 03:15:00,0,0
246,23/07/2021 , 03:30:00,0,0
247,23/07/2021 , 03:45:00,0,0
248,23/07/2021 , 04:00:00,0,0
249,23/07/2021 , 04:15:00,0,0
250,23/07/2021 , 04:30:00,0,0
251,23/07/2021 , 04:45:00,0,0
252,23/07/2021 , 05:00:00,0,0
253,23/07/2021 , 05:15:00,0,0
254,23/07/2021 , 05:30:00,0,0
255,23/07/2021 , 05:45:00,0,0
256,23/07/2021 , 06:00:00,0,0
257,23/07/2021 , 06:15:00,0,0
258,23/07/2021 , 06:30:00,0,0
259,23/07/2021 , 06:45:00,0,0
260,23/07/2021 , 07:00:00,0,0
261,23/07/2021 , 07:15:00,1,1
262,23/07/2021 , 07:30:00,0,0
263,23/07/2021 , 07:45:00,1,1
264,23/07/2021 , 08:00:00,1,1
265,23/07/2021 , 08:15:00,9,9
266,23/07/2021 , 08:30:00,7,7
267,23/07/2021 , 08:45:00,2,2
268,23/07/2021 , 09:00:00,2,2
269,23/07/2021 , 09:15:00,8,8
270,23/07/2021 , 09:30:00,1608,1608
271,23/07/2021 , 09:45:00,1076,1076
272,23/07/2021 , 10:00:00,655,655
273,23/07/2021 , 10:15:00,583,583
274,23/07/2021 , 10:30:00,639,639
275,23/07/2021 , 10:45:00,300,300
276,23/07/2021 , 11:00:00,219,219
277,23/07/2021 , 11:15:00,195,195
278,23/07/2021 , 11:30:00,180,180
279,23/07/2021 , 11:45:00,172,172
280,23/07/2021 , 12:00:00,182,182
281,23/07/2021 , 12:15:00,534,534
282,23/07/2021 , 12:30:00,11989,11989
283,23/07/2021 , 12:45:00,11362,11362
284,23/07/2021 , 13:00:00,15024,15024
285,23/07/2021 , 13:15:00,15253,15253
286,23/07/2021 , 13:30:00,13270,13270
287,23/07/2021 , 13:45:00,7001,7001
288,23/07/2021 , 14:00:00,895,895
289,23/07/2021 , 14:15:00,140,140
290,23/07/2021 , 14:30:00,156,156
291,23/07/2021 , 14:45:00,374,374
292,23/07/2021 , 15:00:00,8,8
293,23/07/2021 , 15:15:00,3,3
294,23/07/2021 , 15:30:00,1,1
295,23/07/2021 , 15:45:00,1,1
296,23/07/2021 , 16:00:00,0,0
297,23/07/2021 , 16:15:00,0,0
298,23/07/2021 , 16:30:00,0,0
299,23/07/2021 , 16:45:00,0,0
300,23/07/2021 , 17:00:00,0,0
301,23/07/2021 , 17:15:00,0,0
302,23/07/2021 , 17:30:00,0,0
303,23/07/2021 , 17:45:00,15,15
304,23/07/2021 , 18:00:00,84,84
305,23/07/2021 , 18:15:00,43,43
306,23/07/2021 , 18:30:00,34,34
307,23/07/2021 , 18:45:00,14,14
308,23/07/2021 , 19:00:00,22,22
309,23/07/2021 , 19:15:00,26,26
310,23/07/2021 , 19:30:00,24,24
311,23/07/2021 , 19:45:00,20,20
312,23/07/2021 , 20:00:00,12,12
