Site Name ,LIZ E - TS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14729


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

277,23/07/2021 , 11:15:00,37033,37033
278,23/07/2021 , 11:30:00,37099,37099
279,23/07/2021 , 11:45:00,37975,37975
280,23/07/2021 , 12:00:00,38795,38795
281,23/07/2021 , 12:15:00,39314,39314
282,23/07/2021 , 12:30:00,39798,39798
283,23/07/2021 , 12:45:00,36588,36588
284,23/07/2021 , 13:00:00,15279,15279
285,23/07/2021 , 13:15:00,10714,10714
286,23/07/2021 , 13:30:00,17506,17506
287,23/07/2021 , 13:45:00,14735,14735
288,23/07/2021 , 14:00:00,11636,11636
289,23/07/2021 , 14:15:00,10811,10811
290,23/07/2021 , 14:30:00,9782,9782
291,23/07/2021 , 14:45:00,9015,9015
292,23/07/2021 , 15:00:00,7901,7901
293,23/07/2021 , 15:15:00,6340,6340
294,23/07/2021 , 15:30:00,4929,4929
295,23/07/2021 , 15:45:00,2068,2068
296,23/07/2021 , 16:00:00,4271,4271
297,23/07/2021 , 16:15:00,3480,3480
298,23/07/2021 , 16:30:00,3188,3188
299,23/07/2021 , 16:45:00,2591,2591
300,23/07/2021 , 17:00:00,2307,2307
301,23/07/2021 , 17:15:00,1781,1781
302,23/07/2021 , 17:30:00,1464,1464
303,23/07/2021 , 17:45:00,1194,1194
304,23/07/2021 , 18:00:00,946,946
305,23/07/2021 , 18:15:00,845,845
306,23/07/2021 , 18:30:00,722,722
307,23/07/2021 , 18:45:00,616,616
308,23/07/2021 , 19:00:00,494,494
309,23/07/2021 , 19:15:00,384,384
310,23/07/2021 , 19:30:00,275,275
311,23/07/2021 , 19:45:00,193,193
312,23/07/2021 , 20:00:00,142,142
313,23/07/2021 , 20:15:00,98,98
314,23/07/2021 , 20:30:00,64,64
315,23/07/2021 , 20:45:00,37,37
316,23/07/2021 , 21:00:00,16,16
317,23/07/2021 , 21:15:00,4,4
318,23/07/2021 , 21:30:00,1,1
319,23/07/2021 , 21:45:00,0,0
320,23/07/2021 , 22:00:00,0,0
321,23/07/2021 , 22:15:00,0,0
322,23/07/2021 , 22:30:00,0,0
323,23/07/2021 , 22:45:00,0,0
324,23/07/2021 , 23:00:00,0,0
325,23/07/2021 , 23:15:00,0,0
326,23/07/2021 , 23:30:00,0,0
327,23/07/2021 , 23:45:00,0,0
328,23/07/2021 , 24:00:00,0,0
329,24/07/2021 , 00:15:00,0,0
330,24/07/2021 , 00:30:00,0,0
331,24/07/2021 , 00:45:00,0,0
332,24/07/2021 , 01:00:00,0,0
333,24/07/2021 , 01:15:00,0,0
334,24/07/2021 , 01:30:00,0,0
335,24/07/2021 , 01:45:00,0,0
336,24/07/2021 , 02:00:00,0,0
337,24/07/2021 , 02:15:00,0,0
338,24/07/2021 , 02:30:00,0,0
339,24/07/2021 , 02:45:00,0,0
340,24/07/2021 , 03:00:00,0,0
341,24/07/2021 , 03:15:00,0,0
342,24/07/2021 , 03:30:00,0,0
343,24/07/2021 , 03:45:00,0,0
344,24/07/2021 , 04:00:00,0,0
345,24/07/2021 , 04:15:00,0,0
346,24/07/2021 , 04:30:00,0,0
347,24/07/2021 , 04:45:00,0,0
348,24/07/2021 , 05:00:00,0,0
349,24/07/2021 , 05:15:00,0,0
350,24/07/2021 , 05:30:00,2,2
351,24/07/2021 , 05:45:00,14,14
352,24/07/2021 , 06:00:00,40,40
353,24/07/2021 , 06:15:00,67,67
354,24/07/2021 , 06:30:00,92,92
355,24/07/2021 , 06:45:00,129,129
356,24/07/2021 , 07:00:00,213,213
357,24/07/2021 , 07:15:00,674,674
358,24/07/2021 , 07:30:00,952,952
359,24/07/2021 , 07:45:00,1386,1386
360,24/07/2021 , 08:00:00,1990,1990
361,24/07/2021 , 08:15:00,2521,2521
362,24/07/2021 , 08:30:00,3104,3104
363,24/07/2021 , 08:45:00,4089,4089
364,24/07/2021 , 09:00:00,5095,5095
365,24/07/2021 , 09:15:00,6168,6168
366,24/07/2021 , 09:30:00,7423,7423
367,24/07/2021 , 09:45:00,8784,8784
368,24/07/2021 , 10:00:00,9335,9335
369,24/07/2021 , 10:15:00,9843,9843
370,24/07/2021 , 10:30:00,8362,8362
371,24/07/2021 , 10:45:00,11425,11425
372,24/07/2021 , 11:00:00,13223,13223
373,24/07/2021 , 11:15:00,14246,14246
374,24/07/2021 , 11:30:00,14424,14424
375,24/07/2021 , 11:45:00,18207,18207
376,24/07/2021 , 12:00:00,21329,21329
377,24/07/2021 , 12:15:00,23826,23826
378,24/07/2021 , 12:30:00,25763,25763
379,24/07/2021 , 12:45:00,27113,27113
380,24/07/2021 , 13:00:00,27977,27977
381,24/07/2021 , 13:15:00,28304,28304
382,24/07/2021 , 13:30:00,20839,20839
383,24/07/2021 , 13:45:00,18275,18275
384,24/07/2021 , 14:00:00,15685,15685
385,24/07/2021 , 14:15:00,10829,10829
386,24/07/2021 , 14:30:00,10363,10363
387,24/07/2021 , 14:45:00,11649,11649
388,24/07/2021 , 15:00:00,10950,10950
389,24/07/2021 , 15:15:00,8521,8521
390,24/07/2021 , 15:30:00,5157,5157
391,24/07/2021 , 15:45:00,5791,5791
392,24/07/2021 , 16:00:00,5811,5811
393,24/07/2021 , 16:15:00,4804,4804
394,24/07/2021 , 16:30:00,3676,3676
395,24/07/2021 , 16:45:00,3393,3393
396,24/07/2021 , 17:00:00,2896,2896
397,24/07/2021 , 17:15:00,2437,2437
398,24/07/2021 , 17:30:00,2111,2111
399,24/07/2021 , 17:45:00,1560,1560
400,24/07/2021 , 18:00:00,1024,1024
401,24/07/2021 , 18:15:00,894,894
402,24/07/2021 , 18:30:00,680,680
403,24/07/2021 , 18:45:00,561,561
404,24/07/2021 , 19:00:00,432,432
405,24/07/2021 , 19:15:00,229,229
406,24/07/2021 , 19:30:00,136,136
407,24/07/2021 , 19:45:00,94,94
408,24/07/2021 , 20:00:00,64,64
409,24/07/2021 , 20:15:00,37,37
410,24/07/2021 , 20:30:00,18,18
411,24/07/2021 , 20:45:00,8,8
412,24/07/2021 , 21:00:00,3,3
413,24/07/2021 , 21:15:00,0,0
414,24/07/2021 , 21:30:00,0,0
415,24/07/2021 , 21:45:00,0,0
416,24/07/2021 , 22:00:00,0,0
417,24/07/2021 , 22:15:00,0,0
418,24/07/2021 , 22:30:00,0,0
419,24/07/2021 , 22:45:00,0,0
420,24/07/2021 , 23:00:00,0,0
421,24/07/2021 , 23:15:00,0,0
422,24/07/2021 , 23:30:00,0,0
423,24/07/2021 , 23:45:00,0,0
424,24/07/2021 , 24:00:00,0,0
425,25/07/2021 , 00:15:00,0,0
426,25/07/2021 , 00:30:00,0,0
427,25/07/2021 , 00:45:00,0,0
428,25/07/2021 , 01:00:00,0,0
429,25/07/2021 , 01:15:00,0,0
430,25/07/2021 , 01:30:00,0,0
431,25/07/2021 , 01:45:00,0,0
432,25/07/2021 , 02:00:00,0,0
433,25/07/2021 , 02:15:00,0,0
434,25/07/2021 , 02:30:00,0,0
435,25/07/2021 , 02:45:00,0,0
436,25/07/2021 , 03:00:00,0,0
437,25/07/2021 , 03:15:00,0,0
438,25/07/2021 , 03:30:00,0,0
439,25/07/2021 , 03:45:00,0,0
440,25/07/2021 , 04:00:00,0,0
441,25/07/2021 , 04:15:00,0,0
442,25/07/2021 , 04:30:00,0,0
443,25/07/2021 , 04:45:00,0,0
444,25/07/2021 , 05:00:00,0,0
445,25/07/2021 , 05:15:00,0,0
446,25/07/2021 , 05:30:00,1,1
447,25/07/2021 , 05:45:00,14,14
448,25/07/2021 , 06:00:00,34,34
449,25/07/2021 , 06:15:00,53,53
450,25/07/2021 , 06:30:00,68,68
451,25/07/2021 , 06:45:00,81,81
452,25/07/2021 , 07:00:00,101,101
453,25/07/2021 , 07:15:00,378,378
454,25/07/2021 , 07:30:00,573,573
455,25/07/2021 , 07:45:00,757,757
456,25/07/2021 , 08:00:00,1085,1085
457,25/07/2021 , 08:15:00,1474,1474
458,25/07/2021 , 08:30:00,2127,2127
459,25/07/2021 , 08:45:00,2691,2691
460,25/07/2021 , 09:00:00,3260,3260
461,25/07/2021 , 09:15:00,3985,3985
462,25/07/2021 , 09:30:00,4908,4908
463,25/07/2021 , 09:45:00,5984,5984
464,25/07/2021 , 10:00:00,7154,7154
465,25/07/2021 , 10:15:00,8380,8380
466,25/07/2021 , 10:30:00,9874,9874
467,25/07/2021 , 10:45:00,11340,11340
468,25/07/2021 , 11:00:00,12488,12488
469,25/07/2021 , 11:15:00,14740,14740
470,25/07/2021 , 11:30:00,15346,15346
471,25/07/2021 , 11:45:00,17512,17512
472,25/07/2021 , 12:00:00,20378,20378
473,25/07/2021 , 12:15:00,22180,22180
474,25/07/2021 , 12:30:00,24560,24560
475,25/07/2021 , 12:45:00,30098,30098
476,25/07/2021 , 13:00:00,39510,39510
477,25/07/2021 , 13:15:00,40414,40414
478,25/07/2021 , 13:30:00,40288,40288
479,25/07/2021 , 13:45:00,27050,27050
480,25/07/2021 , 14:00:00,18370,18370
481,25/07/2021 , 14:15:00,8116,8116
482,25/07/2021 , 14:30:00,15381,15381
483,25/07/2021 , 14:45:00,15937,15937
484,25/07/2021 , 15:00:00,13675,13675
485,25/07/2021 , 15:15:00,10489,10489
486,25/07/2021 , 15:30:00,8332,8332
487,25/07/2021 , 15:45:00,7279,7279
488,25/07/2021 , 16:00:00,6680,6680
489,25/07/2021 , 16:15:00,5709,5709
490,25/07/2021 , 16:30:00,4698,4698
491,25/07/2021 , 16:45:00,3678,3678
492,25/07/2021 , 17:00:00,3274,3274
493,25/07/2021 , 17:15:00,2465,2465
494,25/07/2021 , 17:30:00,2130,2130
495,25/07/2021 , 17:45:00,1633,1633
496,25/07/2021 , 18:00:00,1275,1275
497,25/07/2021 , 18:15:00,894,894
498,25/07/2021 , 18:30:00,747,747
499,25/07/2021 , 18:45:00,622,622
500,25/07/2021 , 19:00:00,456,456
501,25/07/2021 , 19:15:00,352,352
502,25/07/2021 , 19:30:00,261,261
503,25/07/2021 , 19:45:00,186,186
504,25/07/2021 , 20:00:00,116,116
505,25/07/2021 , 20:15:00,71,71
506,25/07/2021 , 20:30:00,40,40
507,25/07/2021 , 20:45:00,18,18
508,25/07/2021 , 21:00:00,7,7
509,25/07/2021 , 21:15:00,1,1
510,25/07/2021 , 21:30:00,0,0
511,25/07/2021 , 21:45:00,0,0
512,25/07/2021 , 22:00:00,0,0
513,25/07/2021 , 22:15:00,0,0
514,25/07/2021 , 22:30:00,0,0
515,25/07/2021 , 22:45:00,0,0
516,25/07/2021 , 23:00:00,0,0
517,25/07/2021 , 23:15:00,0,0
518,25/07/2021 , 23:30:00,0,0
519,25/07/2021 , 23:45:00,0,0
520,25/07/2021 , 24:00:00,0,0
521,26/07/2021 , 00:15:00,0,0
522,26/07/2021 , 00:30:00,0,0
523,26/07/2021 , 00:45:00,0,0
524,26/07/2021 , 01:00:00,0,0
525,26/07/2021 , 01:15:00,0,0
526,26/07/2021 , 01:30:00,0,0
527,26/07/2021 , 01:45:00,0,0
528,26/07/2021 , 02:00:00,0,0
529,26/07/2021 , 02:15:00,0,0
