Date,Time,DO conc (mg/L) c:1 2
07/23/21,18:15:00,11.15
07/23/21,18:30:00,10.95
07/23/21,18:45:00,10.99
07/23/21,19:00:00,10.84
07/23/21,19:15:00,10.93
07/23/21,19:30:00,10.83
07/23/21,19:45:00,10.74
07/23/21,20:00:00,10.60
07/23/21,20:15:00,10.48
07/23/21,20:30:00,10.46
07/23/21,20:45:00,10.58
07/23/21,21:00:00,10.53
07/23/21,21:15:00,10.86
07/23/21,21:30:00,10.68
07/23/21,21:45:00,10.65
07/23/21,22:00:00,10.55
07/23/21,22:15:00,10.56
07/23/21,22:30:00,10.41
07/23/21,22:45:00,9.88
07/23/21,23:00:00,9.86
07/23/21,23:15:00,9.78
07/23/21,23:30:00,10.06
07/23/21,23:45:00,10.11
07/24/21,00:00:00,10.10
07/24/21,00:15:00,10.16
07/24/21,00:30:00,10.04
07/24/21,00:45:00,10.02
07/24/21,01:00:00,9.76
07/24/21,01:15:00,9.74
07/24/21,01:30:00,9.70
07/24/21,01:45:00,9.65
07/24/21,02:00:00,9.57
07/24/21,02:15:00,9.43
07/24/21,02:30:00,9.64
07/24/21,02:45:00,9.40
07/24/21,03:00:00,9.22
07/24/21,03:15:00,9.14
07/24/21,03:30:00,9.12
07/24/21,03:45:00,9.03
07/24/21,04:00:00,8.96
07/24/21,04:15:00,8.79
07/24/21,04:30:00,8.58
07/24/21,04:45:00,8.51
07/24/21,05:00:00,8.27
07/24/21,05:15:00,8.06
07/24/21,05:30:00,8.02
07/24/21,05:45:00,7.63
07/24/21,06:00:00,7.80
07/24/21,06:15:00,10.60
07/24/21,06:30:00,12.44
07/24/21,06:45:00,13.10
07/24/21,07:00:00,13.77
07/24/21,07:15:00,14.11
07/24/21,07:30:00,14.50
07/24/21,07:45:00,14.70
07/24/21,08:00:00,14.72
07/24/21,08:15:00,14.07
07/24/21,08:30:00,13.13
07/24/21,08:45:00,13.24
07/24/21,09:00:00,13.01
07/24/21,09:15:00,13.03
07/24/21,09:30:00,13.08
07/24/21,09:45:00,13.11
07/24/21,10:00:00,13.94
07/24/21,10:15:00,15.90
07/24/21,10:30:00,15.34
07/24/21,10:45:00,15.81
07/24/21,11:00:00,18.01
07/24/21,11:15:00,15.81
07/24/21,11:30:00,16.91
07/24/21,11:45:00,8.77
07/24/21,12:00:00,8.88
07/24/21,12:15:00,8.94
07/24/21,12:30:00,8.81
07/24/21,12:45:00,8.80
07/24/21,13:00:00,8.89
07/24/21,13:15:00,8.99
07/24/21,13:30:00,9.03
07/24/21,13:45:00,8.97
07/24/21,14:00:00,13.79
07/24/21,14:15:00,20.21
07/24/21,14:30:00,19.10
07/24/21,14:45:00,20.67
07/24/21,15:00:00,20.85
07/24/21,15:15:00,21.49
07/24/21,15:30:00,20.74
07/24/21,15:45:00,17.95
07/24/21,16:00:00,15.30
07/24/21,16:15:00,13.72
07/24/21,16:30:00,13.60
07/24/21,16:45:00,13.12
07/24/21,17:00:00,12.36
07/24/21,17:15:00,12.27
07/24/21,17:30:00,12.32
07/24/21,17:45:00,12.27
07/24/21,18:00:00,12.16
07/24/21,18:15:00,12.15
07/24/21,18:30:00,12.12
07/24/21,18:45:00,12.16
07/24/21,19:00:00,12.06
07/24/21,19:15:00,12.09
07/24/21,19:30:00,12.06
07/24/21,19:45:00,12.14
07/24/21,20:00:00,12.04
07/24/21,20:15:00,11.92
07/24/21,20:30:00,11.86
07/24/21,20:45:00,11.90
07/24/21,21:00:00,11.84
07/24/21,21:15:00,11.88
07/24/21,21:30:00,11.76
07/24/21,21:45:00,11.75
07/24/21,22:00:00,11.62
07/24/21,22:15:00,11.55
07/24/21,22:30:00,11.52
07/24/21,22:45:00,11.51
07/24/21,23:00:00,11.44
07/24/21,23:15:00,11.38
07/24/21,23:30:00,11.78
07/24/21,23:45:00,11.98
07/25/21,00:00:00,12.57
07/25/21,00:15:00,13.07
07/25/21,00:30:00,13.82
07/25/21,00:45:00,14.29
07/25/21,01:00:00,14.30
07/25/21,01:15:00,14.15
07/25/21,01:30:00,14.38
07/25/21,01:45:00,13.91
07/25/21,02:00:00,14.05
07/25/21,02:15:00,13.81
07/25/21,02:30:00,13.23
07/25/21,02:45:00,12.98
07/25/21,03:00:00,13.17
07/25/21,03:15:00,13.13
07/25/21,03:30:00,12.52
07/25/21,03:45:00,12.74
07/25/21,04:00:00,12.84
07/25/21,04:15:00,12.70
07/25/21,04:30:00,12.65
07/25/21,04:45:00,12.51
07/25/21,05:00:00,12.58
07/25/21,05:15:00,12.62
07/25/21,05:30:00,12.71
07/25/21,05:45:00,12.57
07/25/21,06:00:00,12.39
07/25/21,06:15:00,12.28
07/25/21,06:30:00,12.23
07/25/21,06:45:00,12.33
07/25/21,07:00:00,12.44
07/25/21,07:15:00,12.45
07/25/21,07:30:00,12.61
07/25/21,07:45:00,12.83
07/25/21,08:00:00,12.85
07/25/21,08:15:00,12.80
07/25/21,08:30:00,12.88
07/25/21,08:45:00,13.17
07/25/21,09:00:00,13.51
07/25/21,09:15:00,13.50
07/25/21,09:30:00,13.42
07/25/21,09:45:00,13.20
07/25/21,10:00:00,13.02
07/25/21,10:15:00,13.12
07/25/21,10:30:00,12.68
07/25/21,10:45:00,12.36
07/25/21,11:00:00,12.67
07/25/21,11:15:00,13.51
07/25/21,11:30:00,15.15
07/25/21,11:45:00,16.11
07/25/21,12:00:00,16.92
07/25/21,12:15:00,16.56
07/25/21,12:30:00,18.97
07/25/21,12:45:00,8.38
07/25/21,13:00:00,8.61
07/25/21,13:15:00,8.55
07/25/21,13:30:00,8.49
07/25/21,13:45:00,8.53
07/25/21,14:00:00,8.47
07/25/21,14:15:00,8.56
07/25/21,14:30:00,21.40
07/25/21,14:45:00,20.47
07/25/21,15:00:00,18.69
07/25/21,15:15:00,18.93
07/25/21,15:30:00,19.29
07/25/21,15:45:00,20.48
07/25/21,16:00:00,19.98
07/25/21,16:15:00,19.64
07/25/21,16:30:00,17.35
07/25/21,16:45:00,15.76
07/25/21,17:00:00,14.15
07/25/21,17:15:00,13.32
07/25/21,17:30:00,12.75
07/25/21,17:45:00,11.94
07/25/21,18:00:00,11.26
07/25/21,18:15:00,10.99
07/25/21,18:30:00,10.83
07/25/21,18:45:00,10.59
07/25/21,19:00:00,10.53
07/25/21,19:15:00,10.37
07/25/21,19:30:00,10.16
07/25/21,19:45:00,10.01
07/25/21,20:00:00,9.97
07/25/21,20:15:00,10.01
07/25/21,20:30:00,10.01
07/25/21,20:45:00,9.92
07/25/21,21:00:00,9.70
07/25/21,21:15:00,9.67
07/25/21,21:30:00,9.56
07/25/21,21:45:00,9.49
07/25/21,22:00:00,9.99
07/25/21,22:15:00,10.00
07/25/21,22:30:00,10.13
07/25/21,22:45:00,10.46
07/25/21,23:00:00,10.85
07/25/21,23:15:00,11.32
07/25/21,23:30:00,11.96
07/25/21,23:45:00,12.15
07/26/21,00:00:00,11.91
07/26/21,00:15:00,12.40
07/26/21,00:30:00,12.32
07/26/21,00:45:00,12.23
07/26/21,01:00:00,12.20
07/26/21,01:15:00,12.25
07/26/21,01:30:00,12.20
07/26/21,01:45:00,12.05
07/26/21,02:00:00,12.11
07/26/21,02:15:00,12.07
07/26/21,02:30:00,11.79
07/26/21,02:45:00,11.89
07/26/21,03:00:00,11.91
07/26/21,03:15:00,11.97
07/26/21,03:30:00,12.03
07/26/21,03:45:00,11.77
07/26/21,04:00:00,11.72
07/26/21,04:15:00,11.72
07/26/21,04:30:00,11.31
07/26/21,04:45:00,11.48
07/26/21,05:00:00,11.52
07/26/21,05:15:00,11.42
07/26/21,05:30:00,11.46
07/26/21,05:45:00,11.41
07/26/21,06:00:00,11.41
07/26/21,06:15:00,11.52
07/26/21,06:30:00,11.51
07/26/21,06:45:00,11.16
07/26/21,07:00:00,10.49
07/26/21,07:15:00,11.04
07/26/21,07:30:00,11.38
07/26/21,07:45:00,11.57
07/26/21,08:00:00,11.82
07/26/21,08:15:00,11.77
07/26/21,08:30:00,11.56
07/26/21,08:45:00,11.66
07/26/21,09:00:00,11.53
07/26/21,09:15:00,11.31
07/26/21,09:30:00,10.88
07/26/21,09:45:00,11.00
07/26/21,10:00:00,11.09
07/26/21,10:15:00,11.08
07/26/21,10:30:00,11.20
07/26/21,10:45:00,11.18
07/26/21,11:00:00,11.03
07/26/21,11:15:00,11.21
07/26/21,11:30:00,11.42
07/26/21,11:45:00,12.02
07/26/21,12:00:00,12.91
07/26/21,12:15:00,14.53
07/26/21,12:30:00,16.40
07/26/21,12:45:00,17.37
07/26/21,13:00:00,18.24
07/26/21,13:15:00,18.21
07/26/21,13:30:00,18.33
07/26/21,13:45:00,20.06
07/26/21,14:00:00,20.91
07/26/21,14:15:00,22.12
07/26/21,14:30:00,20.58
07/26/21,14:45:00,20.67
07/26/21,15:00:00,22.17
07/26/21,15:15:00,21.25
07/26/21,15:30:00,19.94
07/26/21,15:45:00,19.35
07/26/21,16:00:00,19.03
07/26/21,16:15:00,20.27
07/26/21,16:30:00,20.22
07/26/21,16:45:00,19.37
07/26/21,17:00:00,17.02
07/26/21,17:15:00,13.92
07/26/21,17:30:00,12.82
07/26/21,17:45:00,12.01
07/26/21,18:00:00,11.84
07/26/21,18:15:00,11.60
07/26/21,18:30:00,11.15
07/26/21,18:45:00,10.65
07/26/21,19:00:00,10.37
07/26/21,19:15:00,10.08
07/26/21,19:30:00,9.89
07/26/21,19:45:00,9.92
07/26/21,20:00:00,9.77
07/26/21,20:15:00,9.71
07/26/21,20:30:00,9.61
07/26/21,20:45:00,9.41
07/26/21,21:00:00,9.28
07/26/21,21:15:00,9.21
07/26/21,21:30:00,9.40
07/26/21,21:45:00,9.21
07/26/21,22:00:00,9.17
07/26/21,22:15:00,9.10
07/26/21,22:30:00,8.89
07/26/21,22:45:00,9.04
07/26/21,23:00:00,8.92
07/26/21,23:15:00,8.99
07/26/21,23:30:00,9.80
07/26/21,23:45:00,10.34
07/27/21,00:00:00,10.85
07/27/21,00:15:00,10.45
07/27/21,00:30:00,9.69
07/27/21,00:45:00,12.08
07/27/21,01:00:00,12.23
07/27/21,01:15:00,12.29
07/27/21,01:30:00,12.45
07/27/21,01:45:00,12.48
07/27/21,02:00:00,12.38
07/27/21,02:15:00,12.40
07/27/21,02:30:00,12.54
07/27/21,02:45:00,12.56
07/27/21,03:00:00,12.34
07/27/21,03:15:00,12.29
07/27/21,03:30:00,12.13
07/27/21,03:45:00,11.96
07/27/21,04:00:00,11.83
07/27/21,04:15:00,11.62
07/27/21,04:30:00,11.77
07/27/21,04:45:00,11.71
07/27/21,05:00:00,11.56
07/27/21,05:15:00,11.36
07/27/21,05:30:00,11.18
07/27/21,05:45:00,11.20
07/27/21,06:00:00,11.04
07/27/21,06:15:00,11.06
07/27/21,06:30:00,11.07
07/27/21,06:45:00,11.22
07/27/21,07:00:00,11.15
07/27/21,07:15:00,11.18
07/27/21,07:30:00,11.16
07/27/21,07:45:00,11.32
07/27/21,08:00:00,11.46
07/27/21,08:15:00,11.52
07/27/21,08:30:00,11.90
07/27/21,08:45:00,12.32
07/27/21,09:00:00,12.48
07/27/21,09:15:00,12.51
07/27/21,09:30:00,12.59
07/27/21,09:45:00,12.73
07/27/21,10:00:00,13.03
07/27/21,10:15:00,13.49
07/27/21,10:30:00,13.83
07/27/21,10:45:00,13.77
07/27/21,11:00:00,13.60
07/27/21,11:15:00,13.51
07/27/21,11:30:00,13.33
07/27/21,11:45:00,13.28
07/27/21,12:00:00,13.32
07/27/21,12:15:00,13.52
07/27/21,12:30:00,13.83
07/27/21,12:45:00,14.25
07/27/21,13:00:00,14.66
07/27/21,13:15:00,15.28
07/27/21,13:30:00,15.98
07/27/21,13:45:00,16.78
07/27/21,14:00:00,17.04
07/27/21,14:15:00,17.02
07/27/21,14:30:00,16.90
07/27/21,14:45:00,17.22
07/27/21,15:00:00,17.46
07/27/21,15:15:00,17.57
07/27/21,15:30:00,17.85
07/27/21,15:45:00,18.40
07/27/21,16:00:00,19.58
07/27/21,16:15:00,19.61
07/27/21,16:30:00,20.12
07/27/21,16:45:00,21.26
07/27/21,17:00:00,21.01
07/27/21,17:15:00,20.61
07/27/21,17:30:00,19.99
07/27/21,17:45:00,15.51
07/27/21,18:00:00,14.14
07/27/21,18:15:00,13.36
07/27/21,18:30:00,12.46
07/27/21,18:45:00,12.09
07/27/21,19:00:00,12.09
07/27/21,19:15:00,12.15
07/27/21,19:30:00,12.38
07/27/21,19:45:00,12.27
07/27/21,20:00:00,12.06
07/27/21,20:15:00,11.63
07/27/21,20:30:00,11.40
07/27/21,20:45:00,11.62
07/27/21,21:00:00,11.94
07/27/21,21:15:00,12.23
07/27/21,21:30:00,11.34
07/27/21,21:45:00,11.12
07/27/21,22:00:00,10.87
07/27/21,22:15:00,10.80
07/27/21,22:30:00,10.61
07/27/21,22:45:00,10.60
07/27/21,23:00:00,10.53
07/27/21,23:15:00,10.60
07/27/21,23:30:00,10.39
07/27/21,23:45:00,10.29
07/28/21,00:00:00,11.31
07/28/21,00:15:00,11.95
07/28/21,00:30:00,12.85
07/28/21,00:45:00,13.62
07/28/21,01:00:00,14.48
07/28/21,01:15:00,14.62
07/28/21,01:30:00,14.49
07/28/21,01:45:00,14.34
07/28/21,02:00:00,13.91
07/28/21,02:15:00,13.53
07/28/21,02:30:00,13.44
07/28/21,02:45:00,13.02
07/28/21,03:00:00,12.58
07/28/21,03:15:00,12.36
07/28/21,03:30:00,12.07
07/28/21,03:45:00,11.79
07/28/21,04:00:00,11.76
07/28/21,04:15:00,11.67
07/28/21,04:30:00,11.45
07/28/21,04:45:00,10.88
07/28/21,05:00:00,11.16
07/28/21,05:15:00,11.09
07/28/21,05:30:00,10.90
07/28/21,05:45:00,10.83
07/28/21,06:00:00,10.86
07/28/21,06:15:00,10.72
07/28/21,06:30:00,10.80
07/28/21,06:45:00,10.74
07/28/21,07:00:00,10.65
07/28/21,07:15:00,10.80
07/28/21,07:30:00,10.80
07/28/21,07:45:00,10.81
07/28/21,08:00:00,10.72
07/28/21,08:15:00,10.72
07/28/21,08:30:00,10.69
07/28/21,08:45:00,10.86
07/28/21,09:00:00,11.27
07/28/21,09:15:00,11.59
07/28/21,09:30:00,11.85
07/28/21,09:45:00,12.15
07/28/21,10:00:00,12.39
07/28/21,10:15:00,12.64
07/28/21,10:30:00,12.89
07/28/21,10:45:00,13.14
07/28/21,11:00:00,13.32
07/28/21,11:15:00,13.50
07/28/21,11:30:00,13.69
07/28/21,11:45:00,13.82
07/28/21,12:00:00,13.44
07/28/21,12:15:00,13.01
07/28/21,12:30:00,13.21
07/28/21,12:45:00,13.55
07/28/21,13:00:00,13.78
07/28/21,13:15:00,13.68
07/28/21,13:30:00,13.64
07/28/21,13:45:00,13.58
07/28/21,14:00:00,13.78
07/28/21,14:15:00,14.03
07/28/21,14:30:00,14.52
07/28/21,14:45:00,14.65
07/28/21,15:00:00,15.10
07/28/21,15:15:00,15.45
07/28/21,15:30:00,16.23
07/28/21,15:45:00,17.05
07/28/21,16:00:00,17.73
07/28/21,16:15:00,17.93
07/28/21,16:30:00,18.40
07/28/21,16:45:00,19.19
07/28/21,17:00:00,19.84
07/28/21,17:15:00,20.12
07/28/21,17:30:00,19.86
07/28/21,17:45:00,19.37
07/28/21,18:00:00,18.97
07/28/21,18:15:00,17.75
07/28/21,18:30:00,15.32
07/28/21,18:45:00,14.43
07/28/21,19:00:00,14.17
07/28/21,19:15:00,13.79
07/28/21,19:30:00,13.70
07/28/21,19:45:00,13.60
07/28/21,20:00:00,13.53
07/28/21,20:15:00,13.37
07/28/21,20:30:00,13.31
07/28/21,20:45:00,13.23
07/28/21,21:00:00,13.17
07/28/21,21:15:00,13.09
07/28/21,21:30:00,12.90
07/28/21,21:45:00,12.67
07/28/21,22:00:00,12.57
07/28/21,22:15:00,12.51
07/28/21,22:30:00,12.63
07/28/21,22:45:00,12.23
07/28/21,23:00:00,12.11
07/28/21,23:15:00,12.62
07/28/21,23:30:00,11.60
07/28/21,23:45:00,10.95
07/29/21,00:00:00,10.61
07/29/21,00:15:00,10.47
07/29/21,00:30:00,9.84
07/29/21,00:45:00,8.97
07/29/21,01:00:00,12.61
07/29/21,01:15:00,13.49
07/29/21,01:30:00,13.97
07/29/21,01:45:00,14.50
07/29/21,02:00:00,14.75
07/29/21,02:15:00,14.70
07/29/21,02:30:00,14.38
07/29/21,02:45:00,14.05
07/29/21,03:00:00,13.73
07/29/21,03:15:00,13.51
07/29/21,03:30:00,13.26
