Date,Time,Abs Pres (kPa) c:1 2
07/24/21,22:15:00,130.137
07/24/21,22:30:00,129.799
07/24/21,22:45:00,129.538
07/24/21,23:00:00,129.216
07/24/21,23:15:00,128.817
07/24/21,23:30:00,128.449
07/24/21,23:45:00,127.994
07/25/21,00:00:00,127.564
07/25/21,00:15:00,127.212
07/25/21,00:30:00,126.952
07/25/21,00:45:00,126.844
07/25/21,01:00:00,126.921
07/25/21,01:15:00,127.181
07/25/21,01:30:00,127.523
07/25/21,01:45:00,127.921
07/25/21,02:00:00,128.320
07/25/21,02:15:00,128.611
07/25/21,02:30:00,128.764
07/25/21,02:45:00,128.918
07/25/21,03:00:00,129.071
07/25/21,03:15:00,129.424
07/25/21,03:30:00,129.946
07/25/21,03:45:00,130.579
07/25/21,04:00:00,131.270
07/25/21,04:15:00,131.762
07/25/21,04:30:00,132.100
07/25/21,04:45:00,132.131
07/25/21,05:00:00,131.885
07/25/21,05:15:00,131.455
07/25/21,05:30:00,130.932
07/25/21,05:45:00,130.430
07/25/21,06:00:00,129.908
07/25/21,06:15:00,129.355
07/25/21,06:30:00,128.792
07/25/21,06:45:00,128.160
07/25/21,07:00:00,127.421
07/25/21,07:15:00,126.591
07/25/21,07:30:00,125.646
07/25/21,07:45:00,124.640
07/25/21,08:00:00,123.466
07/25/21,08:15:00,122.171
07/25/21,08:30:00,120.885
07/25/21,08:45:00,119.512
07/25/21,09:00:00,118.174
07/25/21,09:15:00,116.785
07/25/21,09:30:00,115.435
07/25/21,09:45:00,114.150
07/25/21,10:00:00,112.909
07/25/21,10:15:00,111.699
07/25/21,10:30:00,110.554
07/25/21,10:45:00,109.459
07/25/21,11:00:00,108.455
07/25/21,11:15:00,107.527
07/25/21,11:30:00,106.725
07/25/21,11:45:00,105.941
07/25/21,12:00:00,105.168
07/25/21,12:15:00,104.410
07/25/21,12:30:00,103.767
07/25/21,12:45:00,103.268
07/25/21,13:00:00,103.115
07/25/21,13:15:00,102.997
07/25/21,13:30:00,102.957
07/25/21,13:45:00,103.339
07/25/21,14:00:00,103.961
07/25/21,14:15:00,104.655
07/25/21,14:30:00,105.364
07/25/21,14:45:00,106.287
07/25/21,15:00:00,107.489
07/25/21,15:15:00,108.859
07/25/21,15:30:00,110.244
07/25/21,15:45:00,111.752
07/25/21,16:00:00,113.230
07/25/21,16:15:00,114.792
07/25/21,16:30:00,116.500
07/25/21,16:45:00,118.312
07/25/21,17:00:00,120.084
07/25/21,17:15:00,121.910
07/25/21,17:30:00,123.578
07/25/21,17:45:00,125.271
