Date,Time,Intensity (Lux) c:2
09/02/21,06:25:00,96.9
09/02/21,06:30:00,172.2
09/02/21,06:35:00,269.1
09/02/21,06:40:00,398.3
09/02/21,06:45:00,538.2
09/02/21,06:50:00,688.9
09/02/21,06:55:00,839.6
09/02/21,07:00:00,882.6
09/02/21,07:05:00,1119.5
09/02/21,07:10:00,1463.9
09/02/21,07:15:00,1636.1
09/02/21,07:20:00,2066.7
09/02/21,07:25:00,2669.5
09/02/21,07:30:00,3444.5
09/02/21,07:35:00,4133.4
09/02/21,07:40:00,4650.0
09/02/21,07:45:00,5511.1
09/02/21,07:50:00,6200.0
09/02/21,07:55:00,6544.5
09/02/21,08:00:00,9644.5
09/02/21,08:05:00,16533.4
09/02/21,08:10:00,7577.8
09/02/21,08:15:00,10677.8
09/02/21,08:20:00,8266.7
09/02/21,08:25:00,15844.5
09/02/21,08:30:00,14466.8
09/02/21,08:35:00,17911.2
09/02/21,08:40:00,17911.2
09/02/21,08:45:00,15844.5
09/02/21,08:50:00,23422.4
09/02/21,08:55:00,33066.9
09/02/21,09:00:00,27555.7
09/02/21,09:05:00,28933.5
09/02/21,09:10:00,15844.5
09/02/21,09:15:00,16533.4
09/02/21,09:20:00,14466.8
09/02/21,09:25:00,17222.3
09/02/21,09:30:00,17911.2
09/02/21,09:35:00,11022.3
09/02/21,09:40:00,3100.0
09/02/21,09:45:00,6200.0
09/02/21,09:50:00,1550.0
09/02/21,09:55:00,3961.1
09/02/21,10:00:00,958.0
09/02/21,10:05:00,3961.1
09/02/21,10:10:00,3616.7
09/02/21,10:15:00,4305.6
09/02/21,10:20:00,4305.6
09/02/21,10:25:00,4133.4
09/02/21,10:30:00,34444.7
09/02/21,10:35:00,46844.8
09/02/21,10:40:00,46844.8
09/02/21,10:45:00,44089.2
09/02/21,10:50:00,38578.0
09/02/21,10:55:00,37200.2
09/02/21,11:00:00,35822.5
09/02/21,11:05:00,34444.7
09/02/21,11:10:00,34444.7
09/02/21,11:15:00,34444.7
09/02/21,11:20:00,24800.2
09/02/21,11:25:00,20666.8
09/02/21,11:30:00,49600.3
09/02/21,11:35:00,22044.6
09/02/21,11:40:00,24800.2
09/02/21,11:45:00,26178.0
09/02/21,11:50:00,18600.1
09/02/21,11:55:00,22044.6
09/02/21,12:00:00,17222.3
09/02/21,12:05:00,16533.4
09/02/21,12:10:00,18600.1
09/02/21,12:15:00,17911.2
09/02/21,12:20:00,22044.6
09/02/21,12:25:00,11711.2
09/02/21,12:30:00,14466.8
09/02/21,12:35:00,18600.1
09/02/21,12:40:00,19977.9
09/02/21,12:45:00,15844.5
09/02/21,12:50:00,15844.5
09/02/21,12:55:00,21355.7
09/02/21,13:00:00,13777.9
09/02/21,13:05:00,15155.7
09/02/21,13:10:00,12400.1
09/02/21,13:15:00,15844.5
09/02/21,13:20:00,13089.0
09/02/21,13:25:00,19289.0
09/02/21,13:30:00,11022.3
09/02/21,13:35:00,15155.7
09/02/21,13:40:00,10333.4
09/02/21,13:45:00,10333.4
09/02/21,13:50:00,10333.4
09/02/21,13:55:00,11022.3
09/02/21,14:00:00,6544.5
09/02/21,14:05:00,7233.4
09/02/21,14:10:00,10333.4
09/02/21,14:15:00,10677.8
09/02/21,14:20:00,7577.8
09/02/21,14:25:00,8266.7
09/02/21,14:30:00,9644.5
09/02/21,14:35:00,7577.8
09/02/21,14:40:00,7577.8
09/02/21,14:45:00,6544.5
09/02/21,14:50:00,6544.5
09/02/21,14:55:00,7233.4
09/02/21,15:00:00,6200.0
09/02/21,15:05:00,6544.5
09/02/21,15:10:00,6200.0
09/02/21,15:15:00,6200.0
