Site Name ,SAMISHISLAND
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14727


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

298,28/05/2021 , 22:30:00,0,0
299,28/05/2021 , 22:45:00,0,0
300,28/05/2021 , 23:00:00,0,0
301,28/05/2021 , 23:15:00,0,0
302,28/05/2021 , 23:30:00,0,0
303,28/05/2021 , 23:45:00,0,0
304,28/05/2021 , 24:00:00,0,0
305,29/05/2021 , 00:15:00,0,0
306,29/05/2021 , 00:30:00,0,0
307,29/05/2021 , 00:45:00,0,0
308,29/05/2021 , 01:00:00,0,0
309,29/05/2021 , 01:15:00,0,0
310,29/05/2021 , 01:30:00,0,0
311,29/05/2021 , 01:45:00,0,0
312,29/05/2021 , 02:00:00,0,0
313,29/05/2021 , 02:15:00,0,0
314,29/05/2021 , 02:30:00,0,0
315,29/05/2021 , 02:45:00,0,0
316,29/05/2021 , 03:00:00,0,0
317,29/05/2021 , 03:15:00,0,0
318,29/05/2021 , 03:30:00,0,0
319,29/05/2021 , 03:45:00,0,0
320,29/05/2021 , 04:00:00,0,0
321,29/05/2021 , 04:15:00,0,0
322,29/05/2021 , 04:30:00,0,0
323,29/05/2021 , 04:45:00,0,0
324,29/05/2021 , 05:00:00,0,0
325,29/05/2021 , 05:15:00,0,0
326,29/05/2021 , 05:30:00,0,0
327,29/05/2021 , 05:45:00,0,0
328,29/05/2021 , 06:00:00,1,1
329,29/05/2021 , 06:15:00,4,4
330,29/05/2021 , 06:30:00,6,6
331,29/05/2021 , 06:45:00,9,9
332,29/05/2021 , 07:00:00,19,19
333,29/05/2021 , 07:15:00,39,39
334,29/05/2021 , 07:30:00,44,44
335,29/05/2021 , 07:45:00,57,57
336,29/05/2021 , 08:00:00,102,102
337,29/05/2021 , 08:15:00,134,134
338,29/05/2021 , 08:30:00,182,182
339,29/05/2021 , 08:45:00,111,111
340,29/05/2021 , 09:00:00,131,131
341,29/05/2021 , 09:15:00,246,246
342,29/05/2021 , 09:30:00,847,847
343,29/05/2021 , 09:45:00,2941,2941
344,29/05/2021 , 10:00:00,4980,4980
345,29/05/2021 , 10:15:00,4307,4307
346,29/05/2021 , 10:30:00,5154,5154
347,29/05/2021 , 10:45:00,6548,6548
348,29/05/2021 , 11:00:00,3432,3432
349,29/05/2021 , 11:15:00,943,943
350,29/05/2021 , 11:30:00,1000,1000
351,29/05/2021 , 11:45:00,981,981
352,29/05/2021 , 12:00:00,843,843
353,29/05/2021 , 12:15:00,3153,3153
354,29/05/2021 , 12:30:00,6191,6191
355,29/05/2021 , 12:45:00,7469,7469
356,29/05/2021 , 13:00:00,8050,8050
357,29/05/2021 , 13:15:00,9556,9556
358,29/05/2021 , 13:30:00,10130,10130
359,29/05/2021 , 13:45:00,10191,10191
360,29/05/2021 , 14:00:00,10049,10049
361,29/05/2021 , 14:15:00,9925,9925
362,29/05/2021 , 14:30:00,9879,9879
363,29/05/2021 , 14:45:00,10248,10248
