Site Name ,LIZ E - NI
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14728


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

313,23/07/2021 , 20:15:00,20,20
314,23/07/2021 , 20:30:00,10,10
315,23/07/2021 , 20:45:00,5,5
316,23/07/2021 , 21:00:00,2,2
317,23/07/2021 , 21:15:00,1,1
318,23/07/2021 , 21:30:00,0,0
319,23/07/2021 , 21:45:00,0,0
320,23/07/2021 , 22:00:00,0,0
321,23/07/2021 , 22:15:00,0,0
322,23/07/2021 , 22:30:00,0,0
323,23/07/2021 , 22:45:00,0,0
324,23/07/2021 , 23:00:00,0,0
325,23/07/2021 , 23:15:00,0,0
326,23/07/2021 , 23:30:00,0,0
327,23/07/2021 , 23:45:00,0,0
328,23/07/2021 , 24:00:00,0,0
329,24/07/2021 , 00:15:00,0,0
330,24/07/2021 , 00:30:00,0,0
331,24/07/2021 , 00:45:00,0,0
332,24/07/2021 , 01:00:00,0,0
333,24/07/2021 , 01:15:00,0,0
334,24/07/2021 , 01:30:00,0,0
335,24/07/2021 , 01:45:00,0,0
336,24/07/2021 , 02:00:00,0,0
337,24/07/2021 , 02:15:00,0,0
338,24/07/2021 , 02:30:00,0,0
339,24/07/2021 , 02:45:00,0,0
340,24/07/2021 , 03:00:00,0,0
341,24/07/2021 , 03:15:00,0,0
342,24/07/2021 , 03:30:00,0,0
343,24/07/2021 , 03:45:00,0,0
344,24/07/2021 , 04:00:00,0,0
345,24/07/2021 , 04:15:00,0,0
346,24/07/2021 , 04:30:00,0,0
347,24/07/2021 , 04:45:00,0,0
348,24/07/2021 , 05:00:00,0,0
349,24/07/2021 , 05:15:00,0,0
350,24/07/2021 , 05:30:00,0,0
351,24/07/2021 , 05:45:00,3,3
352,24/07/2021 , 06:00:00,11,11
353,24/07/2021 , 06:15:00,37,37
354,24/07/2021 , 06:30:00,75,75
355,24/07/2021 , 06:45:00,107,107
356,24/07/2021 , 07:00:00,147,147
357,24/07/2021 , 07:15:00,285,285
358,24/07/2021 , 07:30:00,386,386
359,24/07/2021 , 07:45:00,516,516
360,24/07/2021 , 08:00:00,651,651
361,24/07/2021 , 08:15:00,806,806
362,24/07/2021 , 08:30:00,1032,1032
363,24/07/2021 , 08:45:00,1538,1538
364,24/07/2021 , 09:00:00,2888,2888
365,24/07/2021 , 09:15:00,4087,4087
